"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"DIST";"DIST_ID";"MF";"MPN";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"R7";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"";"";"";"";"RES-08306";"";"";"1.5k";
"R8";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"RES-07856";"";"";"1k";
"R9";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R10";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"RES-00824";"";"";"10k";
"R11";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"RES-12083";"";"";"5.1k";
"R12";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"RES-12083";"";"";"5.1k";
"R13";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R14";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R15";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R16";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R17";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"";"";"";"";"RES-08306";"";"";"1.5k";
"R18";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R19";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"";"";"";"";"RES-08306";"";"";"1.5k";
"RTHERM";"THERM";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"S1";"SPST-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"SWCH-11967";"";"COM-12993";"";
"S2";"SPST-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"SWCH-11967";"";"COM-12993";"";
"S3";"SPST-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"SWCH-11967";"";"COM-12993";"";
"S4";"SPST-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"SWCH-11967";"";"COM-12993";"";
"S5";"SPST-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"SWCH-11967";"";"COM-12993";"";
"S6";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"Single Pole, Double Throw (SPDT) Switch";"";"";"";"";"";"SWCH-10651";"";"COM-10860";"";
"U1";"ADXL362";"ADXL362ADXL362-1:1";"ADXL362-1:1";"Micropower 3-axis accelerometer";"";"";"";"";"";"";"";"";"";
"U2";"";"ATTINY2313A";"SOP20W";"ATTINY2313A";"";"DIGIKEY";"ATTINY2313A-SU-ND";"";"";"IC-11305";"";"";"ATTINY2313A";
"U3";"ADP160-3.3";"ADP160";"SOT23-5";"Nanopower LDO";"";"Digikey";"ADP160AUJZ-3.3-R7TR-ND";"";"";"VREG-11306";"";"";"ADP160";
"U4";"MCP73833";"MCP73833";"DFN-10";"";"";"";"";"";"";"IC-14369";"";"";"MCP73833";
"X1";"RASPI_GPIO_B+#_PIN";"RASPI_GPIO_B+#_PIN";"RASPI_GPIO_B+_PIN";"2x20 header connector, all pins connected";"";"";"";"";"";"";"";"";"";
